state_code,year,total_employment,source
AL,2023,2148000,BLS_CES_2023_plus_EP_2022_2032
AL,2028,2202240,BLS_CES_2023_plus_EP_2022_2032
AL,2033,2257849,BLS_CES_2023_plus_EP_2022_2032
AL,2038,2314863,BLS_CES_2023_plus_EP_2022_2032
AL,2043,2373316,BLS_CES_2023_plus_EP_2022_2032
AL,2048,2433245,BLS_CES_2023_plus_EP_2022_2032
AL,2053,2494687,BLS_CES_2023_plus_EP_2022_2032
AL,2058,2557681,BLS_CES_2023_plus_EP_2022_2032
AK,2023,333000,BLS_CES_2023_plus_EP_2022_2032
AK,2028,338025,BLS_CES_2023_plus_EP_2022_2032
AK,2033,343126,BLS_CES_2023_plus_EP_2022_2032
AK,2038,348304,BLS_CES_2023_plus_EP_2022_2032
AK,2043,353560,BLS_CES_2023_plus_EP_2022_2032
AK,2048,358895,BLS_CES_2023_plus_EP_2022_2032
AK,2053,364311,BLS_CES_2023_plus_EP_2022_2032
AK,2058,369809,BLS_CES_2023_plus_EP_2022_2032
AZ,2023,3239000,BLS_CES_2023_plus_EP_2022_2032
AZ,2028,3455081,BLS_CES_2023_plus_EP_2022_2032
AZ,2033,3685576,BLS_CES_2023_plus_EP_2022_2032
AZ,2038,3931449,BLS_CES_2023_plus_EP_2022_2032
AZ,2043,4193724,BLS_CES_2023_plus_EP_2022_2032
AZ,2048,4473496,BLS_CES_2023_plus_EP_2022_2032
AZ,2053,4771933,BLS_CES_2023_plus_EP_2022_2032
AZ,2058,5090278,BLS_CES_2023_plus_EP_2022_2032
AR,2023,1344000,BLS_CES_2023_plus_EP_2022_2032
AR,2028,1377938,BLS_CES_2023_plus_EP_2022_2032
AR,2033,1412732,BLS_CES_2023_plus_EP_2022_2032
AR,2038,1448406,BLS_CES_2023_plus_EP_2022_2032
AR,2043,1484980,BLS_CES_2023_plus_EP_2022_2032
AR,2048,1522477,BLS_CES_2023_plus_EP_2022_2032
AR,2053,1560922,BLS_CES_2023_plus_EP_2022_2032
AR,2058,1600337,BLS_CES_2023_plus_EP_2022_2032
CA,2023,17980000,BLS_CES_2023_plus_EP_2022_2032
CA,2028,18618172,BLS_CES_2023_plus_EP_2022_2032
CA,2033,19278995,BLS_CES_2023_plus_EP_2022_2032
CA,2038,19963273,BLS_CES_2023_plus_EP_2022_2032
CA,2043,20671838,BLS_CES_2023_plus_EP_2022_2032
CA,2048,21405553,BLS_CES_2023_plus_EP_2022_2032
CA,2053,22165310,BLS_CES_2023_plus_EP_2022_2032
CA,2058,22952033,BLS_CES_2023_plus_EP_2022_2032
CO,2023,2948000,BLS_CES_2023_plus_EP_2022_2032
CO,2028,3113747,BLS_CES_2023_plus_EP_2022_2032
CO,2033,3288812,BLS_CES_2023_plus_EP_2022_2032
CO,2038,3473720,BLS_CES_2023_plus_EP_2022_2032
CO,2043,3669024,BLS_CES_2023_plus_EP_2022_2032
CO,2048,3875309,BLS_CES_2023_plus_EP_2022_2032
CO,2053,4093192,BLS_CES_2023_plus_EP_2022_2032
CO,2058,4323325,BLS_CES_2023_plus_EP_2022_2032
CT,2023,1710000,BLS_CES_2023_plus_EP_2022_2032
CT,2028,1735804,BLS_CES_2023_plus_EP_2022_2032
CT,2033,1761998,BLS_CES_2023_plus_EP_2022_2032
CT,2038,1788587,BLS_CES_2023_plus_EP_2022_2032
CT,2043,1815577,BLS_CES_2023_plus_EP_2022_2032
CT,2048,1842975,BLS_CES_2023_plus_EP_2022_2032
CT,2053,1870786,BLS_CES_2023_plus_EP_2022_2032
CT,2058,1899017,BLS_CES_2023_plus_EP_2022_2032
DE,2023,477000,BLS_CES_2023_plus_EP_2022_2032
DE,2028,491483,BLS_CES_2023_plus_EP_2022_2032
DE,2033,506405,BLS_CES_2023_plus_EP_2022_2032
DE,2038,521781,BLS_CES_2023_plus_EP_2022_2032
DE,2043,537623,BLS_CES_2023_plus_EP_2022_2032
DE,2048,553947,BLS_CES_2023_plus_EP_2022_2032
DE,2053,570766,BLS_CES_2023_plus_EP_2022_2032
DE,2058,588095,BLS_CES_2023_plus_EP_2022_2032
DC,2023,815000,BLS_CES_2023_plus_EP_2022_2032
DC,2028,835580,BLS_CES_2023_plus_EP_2022_2032
DC,2033,856679,BLS_CES_2023_plus_EP_2022_2032
DC,2038,878311,BLS_CES_2023_plus_EP_2022_2032
DC,2043,900490,BLS_CES_2023_plus_EP_2022_2032
DC,2048,923228,BLS_CES_2023_plus_EP_2022_2032
DC,2053,946541,BLS_CES_2023_plus_EP_2022_2032
DC,2058,970442,BLS_CES_2023_plus_EP_2022_2032
FL,2023,9966000,BLS_CES_2023_plus_EP_2022_2032
FL,2028,10683429,BLS_CES_2023_plus_EP_2022_2032
FL,2033,11452503,BLS_CES_2023_plus_EP_2022_2032
FL,2038,12276942,BLS_CES_2023_plus_EP_2022_2032
FL,2043,13160730,BLS_CES_2023_plus_EP_2022_2032
FL,2048,14108140,BLS_CES_2023_plus_EP_2022_2032
FL,2053,15123751,BLS_CES_2023_plus_EP_2022_2032
FL,2058,16212475,BLS_CES_2023_plus_EP_2022_2032
GA,2023,4879000,BLS_CES_2023_plus_EP_2022_2032
GA,2028,5153314,BLS_CES_2023_plus_EP_2022_2032
GA,2033,5443051,BLS_CES_2023_plus_EP_2022_2032
GA,2038,5749077,BLS_CES_2023_plus_EP_2022_2032
GA,2043,6072310,BLS_CES_2023_plus_EP_2022_2032
GA,2048,6413716,BLS_CES_2023_plus_EP_2022_2032
GA,2053,6774317,BLS_CES_2023_plus_EP_2022_2032
GA,2058,7155192,BLS_CES_2023_plus_EP_2022_2032
HI,2023,643000,BLS_CES_2023_plus_EP_2022_2032
HI,2028,659237,BLS_CES_2023_plus_EP_2022_2032
HI,2033,675883,BLS_CES_2023_plus_EP_2022_2032
HI,2038,692950,BLS_CES_2023_plus_EP_2022_2032
HI,2043,710448,BLS_CES_2023_plus_EP_2022_2032
HI,2048,728388,BLS_CES_2023_plus_EP_2022_2032
HI,2053,746780,BLS_CES_2023_plus_EP_2022_2032
HI,2058,765637,BLS_CES_2023_plus_EP_2022_2032
ID,2023,822000,BLS_CES_2023_plus_EP_2022_2032
ID,2028,876837,BLS_CES_2023_plus_EP_2022_2032
ID,2033,935333,BLS_CES_2023_plus_EP_2022_2032
ID,2038,997731,BLS_CES_2023_plus_EP_2022_2032
ID,2043,1064292,BLS_CES_2023_plus_EP_2022_2032
ID,2048,1135293,BLS_CES_2023_plus_EP_2022_2032
ID,2053,1211031,BLS_CES_2023_plus_EP_2022_2032
ID,2058,1291821,BLS_CES_2023_plus_EP_2022_2032
IL,2023,6169000,BLS_CES_2023_plus_EP_2022_2032
IL,2028,6230937,BLS_CES_2023_plus_EP_2022_2032
IL,2033,6293496,BLS_CES_2023_plus_EP_2022_2032
IL,2038,6356684,BLS_CES_2023_plus_EP_2022_2032
IL,2043,6420505,BLS_CES_2023_plus_EP_2022_2032
IL,2048,6484968,BLS_CES_2023_plus_EP_2022_2032
IL,2053,6550077,BLS_CES_2023_plus_EP_2022_2032
IL,2058,6615840,BLS_CES_2023_plus_EP_2022_2032
IN,2023,3222000,BLS_CES_2023_plus_EP_2022_2032
IN,2028,3303360,BLS_CES_2023_plus_EP_2022_2032
IN,2033,3386774,BLS_CES_2023_plus_EP_2022_2032
IN,2038,3472294,BLS_CES_2023_plus_EP_2022_2032
IN,2043,3559974,BLS_CES_2023_plus_EP_2022_2032
IN,2048,3649867,BLS_CES_2023_plus_EP_2022_2032
IN,2053,3742031,BLS_CES_2023_plus_EP_2022_2032
IN,2058,3836522,BLS_CES_2023_plus_EP_2022_2032
IA,2023,1607000,BLS_CES_2023_plus_EP_2022_2032
IA,2028,1639398,BLS_CES_2023_plus_EP_2022_2032
IA,2033,1672449,BLS_CES_2023_plus_EP_2022_2032
IA,2038,1706167,BLS_CES_2023_plus_EP_2022_2032
IA,2043,1740565,BLS_CES_2023_plus_EP_2022_2032
IA,2048,1775655,BLS_CES_2023_plus_EP_2022_2032
IA,2053,1811454,BLS_CES_2023_plus_EP_2022_2032
IA,2058,1847974,BLS_CES_2023_plus_EP_2022_2032
KS,2023,1440000,BLS_CES_2023_plus_EP_2022_2032
KS,2028,1469031,BLS_CES_2023_plus_EP_2022_2032
KS,2033,1498648,BLS_CES_2023_plus_EP_2022_2032
KS,2038,1528862,BLS_CES_2023_plus_EP_2022_2032
KS,2043,1559684,BLS_CES_2023_plus_EP_2022_2032
KS,2048,1591129,BLS_CES_2023_plus_EP_2022_2032
KS,2053,1623207,BLS_CES_2023_plus_EP_2022_2032
KS,2058,1655932,BLS_CES_2023_plus_EP_2022_2032
KY,2023,2018000,BLS_CES_2023_plus_EP_2022_2032
KY,2028,2058684,BLS_CES_2023_plus_EP_2022_2032
KY,2033,2100189,BLS_CES_2023_plus_EP_2022_2032
KY,2038,2142530,BLS_CES_2023_plus_EP_2022_2032
KY,2043,2185724,BLS_CES_2023_plus_EP_2022_2032
KY,2048,2229790,BLS_CES_2023_plus_EP_2022_2032
KY,2053,2274744,BLS_CES_2023_plus_EP_2022_2032
KY,2058,2320604,BLS_CES_2023_plus_EP_2022_2032
LA,2023,1976000,BLS_CES_2023_plus_EP_2022_2032
LA,2028,1995839,BLS_CES_2023_plus_EP_2022_2032
LA,2033,2015878,BLS_CES_2023_plus_EP_2022_2032
LA,2038,2036117,BLS_CES_2023_plus_EP_2022_2032
LA,2043,2056560,BLS_CES_2023_plus_EP_2022_2032
LA,2048,2077208,BLS_CES_2023_plus_EP_2022_2032
LA,2053,2098063,BLS_CES_2023_plus_EP_2022_2032
LA,2058,2119128,BLS_CES_2023_plus_EP_2022_2032
ME,2023,651000,BLS_CES_2023_plus_EP_2022_2032
ME,2028,660824,BLS_CES_2023_plus_EP_2022_2032
ME,2033,670796,BLS_CES_2023_plus_EP_2022_2032
ME,2038,680918,BLS_CES_2023_plus_EP_2022_2032
ME,2043,691194,BLS_CES_2023_plus_EP_2022_2032
ME,2048,701624,BLS_CES_2023_plus_EP_2022_2032
ME,2053,712211,BLS_CES_2023_plus_EP_2022_2032
ME,2058,722959,BLS_CES_2023_plus_EP_2022_2032
MD,2023,2807000,BLS_CES_2023_plus_EP_2022_2032
MD,2028,2892227,BLS_CES_2023_plus_EP_2022_2032
MD,2033,2980041,BLS_CES_2023_plus_EP_2022_2032
MD,2038,3070521,BLS_CES_2023_plus_EP_2022_2032
MD,2043,3163749,BLS_CES_2023_plus_EP_2022_2032
MD,2048,3259807,BLS_CES_2023_plus_EP_2022_2032
MD,2053,3358782,BLS_CES_2023_plus_EP_2022_2032
MD,2058,3460762,BLS_CES_2023_plus_EP_2022_2032
MA,2023,3722000,BLS_CES_2023_plus_EP_2022_2032
MA,2028,3835008,BLS_CES_2023_plus_EP_2022_2032
MA,2033,3951447,BLS_CES_2023_plus_EP_2022_2032
MA,2038,4071422,BLS_CES_2023_plus_EP_2022_2032
MA,2043,4195039,BLS_CES_2023_plus_EP_2022_2032
MA,2048,4322409,BLS_CES_2023_plus_EP_2022_2032
MA,2053,4453647,BLS_CES_2023_plus_EP_2022_2032
MA,2058,4588869,BLS_CES_2023_plus_EP_2022_2032
MI,2023,4504000,BLS_CES_2023_plus_EP_2022_2032
MI,2028,4571967,BLS_CES_2023_plus_EP_2022_2032
MI,2033,4640959,BLS_CES_2023_plus_EP_2022_2032
MI,2038,4710992,BLS_CES_2023_plus_EP_2022_2032
MI,2043,4782082,BLS_CES_2023_plus_EP_2022_2032
MI,2048,4854245,BLS_CES_2023_plus_EP_2022_2032
MI,2053,4927497,BLS_CES_2023_plus_EP_2022_2032
