state_code,year,race,origin,sex,age_group,lfpr,source
AL,2023,white,non-hisp,m,0-4,0.0,synthetic_seed
AL,2023,white,non-hisp,f,0-4,0.0,synthetic_seed
AL,2023,white,non-hisp,m,5-9,0.0,synthetic_seed
AL,2023,white,non-hisp,f,5-9,0.0,synthetic_seed
AL,2023,white,non-hisp,m,10-14,0.0,synthetic_seed
AL,2023,white,non-hisp,f,10-14,0.0,synthetic_seed
AL,2023,white,non-hisp,m,15-19,0.3573,synthetic_seed
AL,2023,white,non-hisp,f,15-19,0.3175,synthetic_seed
AL,2023,white,non-hisp,m,20-24,0.7627,synthetic_seed
AL,2023,white,non-hisp,f,20-24,0.6859,synthetic_seed
AL,2023,white,non-hisp,m,25-29,0.8629,synthetic_seed
AL,2023,white,non-hisp,f,25-29,0.759,synthetic_seed
AL,2023,white,non-hisp,m,30-34,0.9346,synthetic_seed
AL,2023,white,non-hisp,f,30-34,0.7267,synthetic_seed
AL,2023,white,non-hisp,m,35-39,0.9057,synthetic_seed
AL,2023,white,non-hisp,f,35-39,0.7311,synthetic_seed
AL,2023,white,non-hisp,m,40-44,0.9241,synthetic_seed
AL,2023,white,non-hisp,f,40-44,0.7621,synthetic_seed
AL,2023,white,non-hisp,m,45-49,0.8586,synthetic_seed
AL,2023,white,non-hisp,f,45-49,0.7461,synthetic_seed
AL,2023,white,non-hisp,m,50-54,0.8253,synthetic_seed
AL,2023,white,non-hisp,f,50-54,0.7599,synthetic_seed
AL,2023,white,non-hisp,m,55-59,0.737,synthetic_seed
AL,2023,white,non-hisp,f,55-59,0.655,synthetic_seed
AL,2023,white,non-hisp,m,60-64,0.6102,synthetic_seed
AL,2023,white,non-hisp,f,60-64,0.4856,synthetic_seed
AL,2023,white,non-hisp,m,65-69,0.3861,synthetic_seed
AL,2023,white,non-hisp,f,65-69,0.2862,synthetic_seed
AL,2023,white,non-hisp,m,70-74,0.2291,synthetic_seed
AL,2023,white,non-hisp,f,70-74,0.1465,synthetic_seed
AL,2023,white,non-hisp,m,75-79,0.1182,synthetic_seed
AL,2023,white,non-hisp,f,75-79,0.0699,synthetic_seed
AL,2023,white,non-hisp,m,80-84,0.0608,synthetic_seed
AL,2023,white,non-hisp,f,80-84,0.0296,synthetic_seed
AL,2023,white,non-hisp,m,85+,0.0189,synthetic_seed
AL,2023,white,non-hisp,f,85+,0.0099,synthetic_seed
AL,2023,white,hisp,m,0-4,0.0,synthetic_seed
AL,2023,white,hisp,f,0-4,0.0,synthetic_seed
AL,2023,white,hisp,m,5-9,0.0,synthetic_seed
AL,2023,white,hisp,f,5-9,0.0,synthetic_seed
AL,2023,white,hisp,m,10-14,0.0,synthetic_seed
AL,2023,white,hisp,f,10-14,0.0,synthetic_seed
AL,2023,white,hisp,m,15-19,0.3657,synthetic_seed
AL,2023,white,hisp,f,15-19,0.3173,synthetic_seed
AL,2023,white,hisp,m,20-24,0.7609,synthetic_seed
AL,2023,white,hisp,f,20-24,0.7081,synthetic_seed
AL,2023,white,hisp,m,25-29,0.8877,synthetic_seed
AL,2023,white,hisp,f,25-29,0.7653,synthetic_seed
AL,2023,white,hisp,m,30-34,0.9227,synthetic_seed
AL,2023,white,hisp,f,30-34,0.7191,synthetic_seed
AL,2023,white,hisp,m,35-39,0.9025,synthetic_seed
AL,2023,white,hisp,f,35-39,0.741,synthetic_seed
AL,2023,white,hisp,m,40-44,0.9034,synthetic_seed
AL,2023,white,hisp,f,40-44,0.7472,synthetic_seed
AL,2023,white,hisp,m,45-49,0.8905,synthetic_seed
AL,2023,white,hisp,f,45-49,0.7635,synthetic_seed
AL,2023,white,hisp,m,50-54,0.8175,synthetic_seed
AL,2023,white,hisp,f,50-54,0.7304,synthetic_seed
AL,2023,white,hisp,m,55-59,0.7245,synthetic_seed
AL,2023,white,hisp,f,55-59,0.6492,synthetic_seed
AL,2023,white,hisp,m,60-64,0.603,synthetic_seed
AL,2023,white,hisp,f,60-64,0.4887,synthetic_seed
AL,2023,white,hisp,m,65-69,0.3714,synthetic_seed
AL,2023,white,hisp,f,65-69,0.2749,synthetic_seed
AL,2023,white,hisp,m,70-74,0.2276,synthetic_seed
AL,2023,white,hisp,f,70-74,0.1523,synthetic_seed
AL,2023,white,hisp,m,75-79,0.1216,synthetic_seed
AL,2023,white,hisp,f,75-79,0.0707,synthetic_seed
AL,2023,white,hisp,m,80-84,0.0599,synthetic_seed
AL,2023,white,hisp,f,80-84,0.0299,synthetic_seed
AL,2023,white,hisp,m,85+,0.0206,synthetic_seed
AL,2023,white,hisp,f,85+,0.01,synthetic_seed
AL,2023,black,non-hisp,m,0-4,0.0,synthetic_seed
AL,2023,black,non-hisp,f,0-4,0.0,synthetic_seed
AL,2023,black,non-hisp,m,5-9,0.0,synthetic_seed
AL,2023,black,non-hisp,f,5-9,0.0,synthetic_seed
AL,2023,black,non-hisp,m,10-14,0.0,synthetic_seed
