state_code,year,race,origin,sex,age_group,net_migration,migration_rate,source
AL,2023,white,non-hisp,m,0-4,,0.00174,synthetic_seed
AL,2023,white,non-hisp,m,5-9,,0.00175,synthetic_seed
AL,2023,white,non-hisp,m,10-14,,0.00188,synthetic_seed
AL,2023,white,non-hisp,m,15-19,,0.00526,synthetic_seed
AL,2023,white,non-hisp,m,20-24,,0.00592,synthetic_seed
AL,2023,white,non-hisp,m,25-29,,0.0076,synthetic_seed
AL,2023,white,non-hisp,m,30-34,,0.00749,synthetic_seed
AL,2023,white,non-hisp,m,35-39,,0.01015,synthetic_seed
AL,2023,white,non-hisp,m,40-44,,0.00981,synthetic_seed
AL,2023,white,non-hisp,m,45-49,,0.00376,synthetic_seed
AL,2023,white,non-hisp,m,50-54,,0.00416,synthetic_seed
AL,2023,white,non-hisp,m,55-59,,0.00133,synthetic_seed
AL,2023,white,non-hisp,m,60-64,,0.00156,synthetic_seed
AL,2023,white,non-hisp,m,65-69,,0.00149,synthetic_seed
AL,2023,white,non-hisp,m,70-74,,0.00152,synthetic_seed
AL,2023,white,non-hisp,m,75-79,,0.00146,synthetic_seed
AL,2023,white,non-hisp,m,80-84,,0.00164,synthetic_seed
AL,2023,white,non-hisp,m,85+,,0.00202,synthetic_seed
AL,2023,white,non-hisp,f,0-4,,0.00178,synthetic_seed
AL,2023,white,non-hisp,f,5-9,,0.00161,synthetic_seed
AL,2023,white,non-hisp,f,10-14,,0.00171,synthetic_seed
AL,2023,white,non-hisp,f,15-19,,0.00403,synthetic_seed
AL,2023,white,non-hisp,f,20-24,,0.00669,synthetic_seed
AL,2023,white,non-hisp,f,25-29,,0.00841,synthetic_seed
AL,2023,white,non-hisp,f,30-34,,0.00848,synthetic_seed
AL,2023,white,non-hisp,f,35-39,,0.00834,synthetic_seed
AL,2023,white,non-hisp,f,40-44,,0.00802,synthetic_seed
AL,2023,white,non-hisp,f,45-49,,0.00327,synthetic_seed
AL,2023,white,non-hisp,f,50-54,,0.00425,synthetic_seed
AL,2023,white,non-hisp,f,55-59,,0.00168,synthetic_seed
AL,2023,white,non-hisp,f,60-64,,0.0022,synthetic_seed
AL,2023,white,non-hisp,f,65-69,,0.00176,synthetic_seed
AL,2023,white,non-hisp,f,70-74,,0.00146,synthetic_seed
AL,2023,white,non-hisp,f,75-79,,0.00159,synthetic_seed
AL,2023,white,non-hisp,f,80-84,,0.00166,synthetic_seed
AL,2023,white,non-hisp,f,85+,,0.00174,synthetic_seed
AL,2023,white,hisp,m,0-4,,0.00192,synthetic_seed
AL,2023,white,hisp,m,5-9,,0.00175,synthetic_seed
AL,2023,white,hisp,m,10-14,,0.00177,synthetic_seed
AL,2023,white,hisp,m,15-19,,0.00448,synthetic_seed
AL,2023,white,hisp,m,20-24,,0.00765,synthetic_seed
AL,2023,white,hisp,m,25-29,,0.00646,synthetic_seed
AL,2023,white,hisp,m,30-34,,0.00924,synthetic_seed
AL,2023,white,hisp,m,35-39,,0.00705,synthetic_seed
AL,2023,white,hisp,m,40-44,,0.00728,synthetic_seed
AL,2023,white,hisp,m,45-49,,0.00484,synthetic_seed
AL,2023,white,hisp,m,50-54,,0.00541,synthetic_seed
AL,2023,white,hisp,m,55-59,,0.00133,synthetic_seed
AL,2023,white,hisp,m,60-64,,0.0013,synthetic_seed
AL,2023,white,hisp,m,65-69,,0.0017,synthetic_seed
AL,2023,white,hisp,m,70-74,,0.00125,synthetic_seed
AL,2023,white,hisp,m,75-79,,0.00119,synthetic_seed
AL,2023,white,hisp,m,80-84,,0.0013,synthetic_seed
AL,2023,white,hisp,m,85+,,0.00128,synthetic_seed
AL,2023,white,hisp,f,0-4,,0.00155,synthetic_seed
AL,2023,white,hisp,f,5-9,,0.00163,synthetic_seed
AL,2023,white,hisp,f,10-14,,0.00163,synthetic_seed
AL,2023,white,hisp,f,15-19,,0.00416,synthetic_seed
AL,2023,white,hisp,f,20-24,,0.00745,synthetic_seed
AL,2023,white,hisp,f,25-29,,0.00573,synthetic_seed
AL,2023,white,hisp,f,30-34,,0.01057,synthetic_seed
AL,2023,white,hisp,f,35-39,,0.00914,synthetic_seed
AL,2023,white,hisp,f,40-44,,0.00717,synthetic_seed
AL,2023,white,hisp,f,45-49,,0.00449,synthetic_seed
AL,2023,white,hisp,f,50-54,,0.00384,synthetic_seed
AL,2023,white,hisp,f,55-59,,0.00164,synthetic_seed
AL,2023,white,hisp,f,60-64,,0.00121,synthetic_seed
AL,2023,white,hisp,f,65-69,,0.00141,synthetic_seed
AL,2023,white,hisp,f,70-74,,0.00138,synthetic_seed
AL,2023,white,hisp,f,75-79,,0.00142,synthetic_seed
AL,2023,white,hisp,f,80-84,,0.00175,synthetic_seed
AL,2023,white,hisp,f,85+,,0.00149,synthetic_seed
AL,2023,black,non-hisp,m,0-4,,0.00187,synthetic_seed
AL,2023,black,non-hisp,m,5-9,,0.00153,synthetic_seed
AL,2023,black,non-hisp,m,10-14,,0.00128,synthetic_seed
AL,2023,black,non-hisp,m,15-19,,0.00462,synthetic_seed
AL,2023,black,non-hisp,m,20-24,,0.01005,synthetic_seed
AL,2023,black,non-hisp,m,25-29,,0.00886,synthetic_seed
AL,2023,black,non-hisp,m,30-34,,0.00722,synthetic_seed
AL,2023,black,non-hisp,m,35-39,,0.00728,synthetic_seed
AL,2023,black,non-hisp,m,40-44,,0.00818,synthetic_seed
AL,2023,black,non-hisp,m,45-49,,0.00388,synthetic_seed
AL,2023,black,non-hisp,m,50-54,,0.00466,synthetic_seed
AL,2023,black,non-hisp,m,55-59,,0.00149,synthetic_seed
AL,2023,black,non-hisp,m,60-64,,0.00127,synthetic_seed
AL,2023,black,non-hisp,m,65-69,,0.00144,synthetic_seed
AL,2023,black,non-hisp,m,70-74,,0.00125,synthetic_seed
AL,2023,black,non-hisp,m,75-79,,0.00141,synthetic_seed
AL,2023,black,non-hisp,m,80-84,,0.00184,synthetic_seed
AL,2023,black,non-hisp,m,85+,,0.00179,synthetic_seed
AL,2023,black,non-hisp,f,0-4,,0.00133,synthetic_seed
AL,2023,black,non-hisp,f,5-9,,0.00168,synthetic_seed
AL,2023,black,non-hisp,f,10-14,,0.00163,synthetic_seed
AL,2023,black,non-hisp,f,15-19,,0.00362,synthetic_seed
AL,2023,black,non-hisp,f,20-24,,0.00781,synthetic_seed
AL,2023,black,non-hisp,f,25-29,,0.00735,synthetic_seed
AL,2023,black,non-hisp,f,30-34,,0.00912,synthetic_seed
AL,2023,black,non-hisp,f,35-39,,0.00908,synthetic_seed
AL,2023,black,non-hisp,f,40-44,,0.00842,synthetic_seed
AL,2023,black,non-hisp,f,45-49,,0.00365,synthetic_seed
AL,2023,black,non-hisp,f,50-54,,0.00456,synthetic_seed
AL,2023,black,non-hisp,f,55-59,,0.00166,synthetic_seed
AL,2023,black,non-hisp,f,60-64,,0.00214,synthetic_seed
AL,2023,black,non-hisp,f,65-69,,0.0015,synthetic_seed
AL,2023,black,non-hisp,f,70-74,,0.0016,synthetic_seed
AL,2023,black,non-hisp,f,75-79,,0.00174,synthetic_seed
AL,2023,black,non-hisp,f,80-84,,0.00171,synthetic_seed
AL,2023,black,non-hisp,f,85+,,0.00153,synthetic_seed
AL,2023,black,hisp,m,0-4,,0.0013,synthetic_seed
AL,2023,black,hisp,m,5-9,,0.00178,synthetic_seed
AL,2023,black,hisp,m,10-14,,0.00127,synthetic_seed
AL,2023,black,hisp,m,15-19,,0.00382,synthetic_seed
AL,2023,black,hisp,m,20-24,,0.00887,synthetic_seed
AL,2023,black,hisp,m,25-29,,0.00762,synthetic_seed
AL,2023,black,hisp,m,30-34,,0.00918,synthetic_seed
AL,2023,black,hisp,m,35-39,,0.00756,synthetic_seed
AL,2023,black,hisp,m,40-44,,0.00597,synthetic_seed
AL,2023,black,hisp,m,45-49,,0.00361,synthetic_seed
AL,2023,black,hisp,m,50-54,,0.00422,synthetic_seed
AL,2023,black,hisp,m,55-59,,0.00166,synthetic_seed
AL,2023,black,hisp,m,60-64,,0.00171,synthetic_seed
AL,2023,black,hisp,m,65-69,,0.00139,synthetic_seed
AL,2023,black,hisp,m,70-74,,0.00173,synthetic_seed
AL,2023,black,hisp,m,75-79,,0.0013,synthetic_seed
AL,2023,black,hisp,m,80-84,,0.00122,synthetic_seed
AL,2023,black,hisp,m,85+,,0.00161,synthetic_seed
AL,2023,black,hisp,f,0-4,,0.00175,synthetic_seed
AL,2023,black,hisp,f,5-9,,0.00146,synthetic_seed
AL,2023,black,hisp,f,10-14,,0.0013,synthetic_seed
AL,2023,black,hisp,f,15-19,,0.00431,synthetic_seed
AL,2023,black,hisp,f,20-24,,0.00882,synthetic_seed
AL,2023,black,hisp,f,25-29,,0.00778,synthetic_seed
AL,2023,black,hisp,f,30-34,,0.00779,synthetic_seed
AL,2023,black,hisp,f,35-39,,0.00749,synthetic_seed
AL,2023,black,hisp,f,40-44,,0.00762,synthetic_seed
AL,2023,black,hisp,f,45-49,,0.00488,synthetic_seed
AL,2023,black,hisp,f,50-54,,0.00408,synthetic_seed
AL,2023,black,hisp,f,55-59,,0.00149,synthetic_seed
AL,2023,black,hisp,f,60-64,,0.0016,synthetic_seed
AL,2023,black,hisp,f,65-69,,0.00154,synthetic_seed
AL,2023,black,hisp,f,70-74,,0.00134,synthetic_seed
AL,2023,black,hisp,f,75-79,,0.00215,synthetic_seed
AL,2023,black,hisp,f,80-84,,0.00217,synthetic_seed
AL,2023,black,hisp,f,85+,,0.0019,synthetic_seed
AL,2023,asian,non-hisp,m,0-4,,0.00194,synthetic_seed
AL,2023,asian,non-hisp,m,5-9,,0.00147,synthetic_seed
AL,2023,asian,non-hisp,m,10-14,,0.00159,synthetic_seed
AL,2023,asian,non-hisp,m,15-19,,0.00429,synthetic_seed
AL,2023,asian,non-hisp,m,20-24,,0.00948,synthetic_seed
AL,2023,asian,non-hisp,m,25-29,,0.00997,synthetic_seed
AL,2023,asian,non-hisp,m,30-34,,0.00817,synthetic_seed
AL,2023,asian,non-hisp,m,35-39,,0.00933,synthetic_seed
AL,2023,asian,non-hisp,m,40-44,,0.00734,synthetic_seed
AL,2023,asian,non-hisp,m,45-49,,0.00435,synthetic_seed
AL,2023,asian,non-hisp,m,50-54,,0.00448,synthetic_seed
AL,2023,asian,non-hisp,m,55-59,,0.00182,synthetic_seed
AL,2023,asian,non-hisp,m,60-64,,0.00148,synthetic_seed
AL,2023,asian,non-hisp,m,65-69,,0.00193,synthetic_seed
AL,2023,asian,non-hisp,m,70-74,,0.00146,synthetic_seed
AL,2023,asian,non-hisp,m,75-79,,0.00191,synthetic_seed
AL,2023,asian,non-hisp,m,80-84,,0.00206,synthetic_seed
AL,2023,asian,non-hisp,m,85+,,0.00187,synthetic_seed
AL,2023,asian,non-hisp,f,0-4,,0.00164,synthetic_seed
AL,2023,asian,non-hisp,f,5-9,,0.00141,synthetic_seed
AL,2023,asian,non-hisp,f,10-14,,0.00167,synthetic_seed
AL,2023,asian,non-hisp,f,15-19,,0.00441,synthetic_seed
AL,2023,asian,non-hisp,f,20-24,,0.00816,synthetic_seed
AL,2023,asian,non-hisp,f,25-29,,0.00742,synthetic_seed
AL,2023,asian,non-hisp,f,30-34,,0.00938,synthetic_seed
AL,2023,asian,non-hisp,f,35-39,,0.00791,synthetic_seed
AL,2023,asian,non-hisp,f,40-44,,0.00663,synthetic_seed
AL,2023,asian,non-hisp,f,45-49,,0.00438,synthetic_seed
AL,2023,asian,non-hisp,f,50-54,,0.0042,synthetic_seed
AL,2023,asian,non-hisp,f,55-59,,0.00175,synthetic_seed
AL,2023,asian,non-hisp,f,60-64,,0.00156,synthetic_seed
AL,2023,asian,non-hisp,f,65-69,,0.00184,synthetic_seed
AL,2023,asian,non-hisp,f,70-74,,0.00131,synthetic_seed
AL,2023,asian,non-hisp,f,75-79,,0.00166,synthetic_seed
AL,2023,asian,non-hisp,f,80-84,,0.00146,synthetic_seed
AL,2023,asian,non-hisp,f,85+,,0.00125,synthetic_seed
AL,2023,asian,hisp,m,0-4,,0.0019,synthetic_seed
AL,2023,asian,hisp,m,5-9,,0.00167,synthetic_seed
AL,2023,asian,hisp,m,10-14,,0.00171,synthetic_seed
AL,2023,asian,hisp,m,15-19,,0.00284,synthetic_seed
AL,2023,asian,hisp,m,20-24,,0.00786,synthetic_seed
AL,2023,asian,hisp,m,25-29,,0.00676,synthetic_seed
AL,2023,asian,hisp,m,30-34,,0.00778,synthetic_seed
AL,2023,asian,hisp,m,35-39,,0.00694,synthetic_seed
AL,2023,asian,hisp,m,40-44,,0.00893,synthetic_seed
AL,2023,asian,hisp,m,45-49,,0.00402,synthetic_seed
AL,2023,asian,hisp,m,50-54,,0.00308,synthetic_seed
AL,2023,asian,hisp,m,55-59,,0.0017,synthetic_seed
AL,2023,asian,hisp,m,60-64,,0.00212,synthetic_seed
AL,2023,asian,hisp,m,65-69,,0.00186,synthetic_seed
AL,2023,asian,hisp,m,70-74,,0.00184,synthetic_seed
AL,2023,asian,hisp,m,75-79,,0.00153,synthetic_seed
AL,2023,asian,hisp,m,80-84,,0.00178,synthetic_seed
AL,2023,asian,hisp,m,85+,,0.00186,synthetic_seed
AL,2023,asian,hisp,f,0-4,,0.00115,synthetic_seed
AL,2023,asian,hisp,f,5-9,,0.00178,synthetic_seed
AL,2023,asian,hisp,f,10-14,,0.00169,synthetic_seed
AL,2023,asian,hisp,f,15-19,,0.00446,synthetic_seed
AL,2023,asian,hisp,f,20-24,,0.00908,synthetic_seed
AL,2023,asian,hisp,f,25-29,,0.00902,synthetic_seed
AL,2023,asian,hisp,f,30-34,,0.00584,synthetic_seed
AL,2023,asian,hisp,f,35-39,,0.0072,synthetic_seed
AL,2023,asian,hisp,f,40-44,,0.00797,synthetic_seed
AL,2023,asian,hisp,f,45-49,,0.00455,synthetic_seed
AL,2023,asian,hisp,f,50-54,,0.00345,synthetic_seed
AL,2023,asian,hisp,f,55-59,,0.00188,synthetic_seed
AL,2023,asian,hisp,f,60-64,,0.00171,synthetic_seed
AL,2023,asian,hisp,f,65-69,,0.00149,synthetic_seed
AL,2023,asian,hisp,f,70-74,,0.00188,synthetic_seed
AL,2023,asian,hisp,f,75-79,,0.00187,synthetic_seed
AL,2023,asian,hisp,f,80-84,,0.00201,synthetic_seed
AL,2023,asian,hisp,f,85+,,0.00147,synthetic_seed
AL,2023,other,non-hisp,m,0-4,,0.00117,synthetic_seed
AL,2023,other,non-hisp,m,5-9,,0.00209,synthetic_seed
AL,2023,other,non-hisp,m,10-14,,0.00163,synthetic_seed
AL,2023,other,non-hisp,m,15-19,,0.00322,synthetic_seed
AL,2023,other,non-hisp,m,20-24,,0.00901,synthetic_seed
