state_code,year,race,origin,sex,age_group,mortality_rate,source
AL,2023,white,non-hisp,m,0-4,0.00324,synthetic_seed
AL,2023,white,non-hisp,m,5-9,0.000648,synthetic_seed
AL,2023,white,non-hisp,m,10-14,0.000648,synthetic_seed
AL,2023,white,non-hisp,m,15-19,0.00324,synthetic_seed
AL,2023,white,non-hisp,m,20-24,0.005184,synthetic_seed
AL,2023,white,non-hisp,m,25-29,0.00648,synthetic_seed
AL,2023,white,non-hisp,m,30-34,0.008424,synthetic_seed
AL,2023,white,non-hisp,m,35-39,0.011664,synthetic_seed
AL,2023,white,non-hisp,m,40-44,0.01607,synthetic_seed
AL,2023,white,non-hisp,m,45-49,0.023846,synthetic_seed
AL,2023,white,non-hisp,m,50-54,0.035251,synthetic_seed
AL,2023,white,non-hisp,m,55-59,0.051062,synthetic_seed
AL,2023,white,non-hisp,m,60-64,0.075946,synthetic_seed
AL,2023,white,non-hisp,m,65-69,0.112493,synthetic_seed
AL,2023,white,non-hisp,m,70-74,0.17159,synthetic_seed
AL,2023,white,non-hisp,m,75-79,0.266717,synthetic_seed
AL,2023,white,non-hisp,m,80-84,0.41809,synthetic_seed
AL,2023,white,non-hisp,m,85+,0.720965,synthetic_seed
AL,2023,white,non-hisp,f,0-4,0.002295,synthetic_seed
AL,2023,white,non-hisp,f,5-9,0.000459,synthetic_seed
AL,2023,white,non-hisp,f,10-14,0.000459,synthetic_seed
AL,2023,white,non-hisp,f,15-19,0.002295,synthetic_seed
AL,2023,white,non-hisp,f,20-24,0.003672,synthetic_seed
AL,2023,white,non-hisp,f,25-29,0.00459,synthetic_seed
AL,2023,white,non-hisp,f,30-34,0.005967,synthetic_seed
AL,2023,white,non-hisp,f,35-39,0.008262,synthetic_seed
AL,2023,white,non-hisp,f,40-44,0.011383,synthetic_seed
AL,2023,white,non-hisp,f,45-49,0.016891,synthetic_seed
AL,2023,white,non-hisp,f,50-54,0.02497,synthetic_seed
AL,2023,white,non-hisp,f,55-59,0.036169,synthetic_seed
AL,2023,white,non-hisp,f,60-64,0.053795,synthetic_seed
AL,2023,white,non-hisp,f,65-69,0.079682,synthetic_seed
AL,2023,white,non-hisp,f,70-74,0.121543,synthetic_seed
AL,2023,white,non-hisp,f,75-79,0.188924,synthetic_seed
AL,2023,white,non-hisp,f,80-84,0.296147,synthetic_seed
AL,2023,white,non-hisp,f,85+,0.510683,synthetic_seed
AL,2023,white,hisp,m,0-4,0.00324,synthetic_seed
AL,2023,white,hisp,m,5-9,0.000648,synthetic_seed
AL,2023,white,hisp,m,10-14,0.000648,synthetic_seed
AL,2023,white,hisp,m,15-19,0.00324,synthetic_seed
AL,2023,white,hisp,m,20-24,0.005184,synthetic_seed
AL,2023,white,hisp,m,25-29,0.00648,synthetic_seed
AL,2023,white,hisp,m,30-34,0.008424,synthetic_seed
AL,2023,white,hisp,m,35-39,0.011664,synthetic_seed
AL,2023,white,hisp,m,40-44,0.01607,synthetic_seed
AL,2023,white,hisp,m,45-49,0.023846,synthetic_seed
AL,2023,white,hisp,m,50-54,0.035251,synthetic_seed
AL,2023,white,hisp,m,55-59,0.051062,synthetic_seed
AL,2023,white,hisp,m,60-64,0.075946,synthetic_seed
AL,2023,white,hisp,m,65-69,0.112493,synthetic_seed
AL,2023,white,hisp,m,70-74,0.17159,synthetic_seed
AL,2023,white,hisp,m,75-79,0.266717,synthetic_seed
AL,2023,white,hisp,m,80-84,0.41809,synthetic_seed
AL,2023,white,hisp,m,85+,0.720965,synthetic_seed
AL,2023,white,hisp,f,0-4,0.002295,synthetic_seed
AL,2023,white,hisp,f,5-9,0.000459,synthetic_seed
AL,2023,white,hisp,f,10-14,0.000459,synthetic_seed
AL,2023,white,hisp,f,15-19,0.002295,synthetic_seed
AL,2023,white,hisp,f,20-24,0.003672,synthetic_seed
AL,2023,white,hisp,f,25-29,0.00459,synthetic_seed
AL,2023,white,hisp,f,30-34,0.005967,synthetic_seed
AL,2023,white,hisp,f,35-39,0.008262,synthetic_seed
AL,2023,white,hisp,f,40-44,0.011383,synthetic_seed
AL,2023,white,hisp,f,45-49,0.016891,synthetic_seed
AL,2023,white,hisp,f,50-54,0.02497,synthetic_seed
AL,2023,white,hisp,f,55-59,0.036169,synthetic_seed
AL,2023,white,hisp,f,60-64,0.053795,synthetic_seed
AL,2023,white,hisp,f,65-69,0.079682,synthetic_seed
AL,2023,white,hisp,f,70-74,0.121543,synthetic_seed
AL,2023,white,hisp,f,75-79,0.188924,synthetic_seed
AL,2023,white,hisp,f,80-84,0.296147,synthetic_seed
AL,2023,white,hisp,f,85+,0.510683,synthetic_seed
AL,2023,black,non-hisp,m,0-4,0.003564,synthetic_seed
AL,2023,black,non-hisp,m,5-9,0.000713,synthetic_seed
AL,2023,black,non-hisp,m,10-14,0.000713,synthetic_seed
AL,2023,black,non-hisp,m,15-19,0.003564,synthetic_seed
AL,2023,black,non-hisp,m,20-24,0.005702,synthetic_seed
AL,2023,black,non-hisp,m,25-29,0.007128,synthetic_seed
AL,2023,black,non-hisp,m,30-34,0.009266,synthetic_seed
AL,2023,black,non-hisp,m,35-39,0.01283,synthetic_seed
AL,2023,black,non-hisp,m,40-44,0.017677,synthetic_seed
AL,2023,black,non-hisp,m,45-49,0.026231,synthetic_seed
AL,2023,black,non-hisp,m,50-54,0.038776,synthetic_seed
AL,2023,black,non-hisp,m,55-59,0.056169,synthetic_seed
AL,2023,black,non-hisp,m,60-64,0.08354,synthetic_seed
AL,2023,black,non-hisp,m,65-69,0.123742,synthetic_seed
AL,2023,black,non-hisp,m,70-74,0.188749,synthetic_seed
AL,2023,black,non-hisp,m,75-79,0.293388,synthetic_seed
AL,2023,black,non-hisp,m,80-84,0.459899,synthetic_seed
AL,2023,black,non-hisp,m,85+,0.793061,synthetic_seed
AL,2023,black,non-hisp,f,0-4,0.002525,synthetic_seed
AL,2023,black,non-hisp,f,5-9,0.000505,synthetic_seed
AL,2023,black,non-hisp,f,10-14,0.000505,synthetic_seed
AL,2023,black,non-hisp,f,15-19,0.002525,synthetic_seed
AL,2023,black,non-hisp,f,20-24,0.004039,synthetic_seed
AL,2023,black,non-hisp,f,25-29,0.005049,synthetic_seed
AL,2023,black,non-hisp,f,30-34,0.006564,synthetic_seed
AL,2023,black,non-hisp,f,35-39,0.009088,synthetic_seed
