state_code,year,race,origin,sex,age_group,population,is_projection
WI,2018,white,non-hisp,m,0-4,136519,0
WI,2018,white,non-hisp,f,0-4,136519,0
WI,2018,white,non-hisp,m,5-9,141227,0
WI,2018,white,non-hisp,f,5-9,141227,0
WI,2018,white,non-hisp,m,10-14,150642,0
WI,2018,white,non-hisp,f,10-14,150642,0
WI,2018,white,non-hisp,m,15-19,150642,0
WI,2018,white,non-hisp,f,15-19,150642,0
WI,2018,white,non-hisp,m,20-24,155350,0
WI,2018,white,non-hisp,f,20-24,155350,0
WI,2018,white,non-hisp,m,25-29,164765,0
WI,2018,white,non-hisp,f,25-29,164765,0
WI,2018,white,non-hisp,m,30-34,164765,0
WI,2018,white,non-hisp,f,30-34,164765,0
WI,2018,white,non-hisp,m,35-39,160057,0
WI,2018,white,non-hisp,f,35-39,160057,0
WI,2018,white,non-hisp,m,40-44,148288,0
WI,2018,white,non-hisp,f,40-44,148288,0
WI,2018,white,non-hisp,m,45-49,141227,0
WI,2018,white,non-hisp,f,45-49,141227,0
WI,2018,white,non-hisp,m,50-54,150642,0
WI,2018,white,non-hisp,f,50-54,150642,0
WI,2018,white,non-hisp,m,55-59,157703,0
WI,2018,white,non-hisp,f,55-59,157703,0
WI,2018,white,non-hisp,m,60-64,150642,0
WI,2018,white,non-hisp,f,60-64,150642,0
WI,2018,white,non-hisp,m,65-69,127104,0
WI,2018,white,non-hisp,f,65-69,127104,0
WI,2018,white,non-hisp,m,70-74,105920,0
WI,2018,white,non-hisp,f,70-74,105920,0
WI,2018,white,non-hisp,m,75-79,75321,0
WI,2018,white,non-hisp,f,75-79,75321,0
WI,2018,white,non-hisp,m,80-84,37661,0
WI,2018,white,non-hisp,f,80-84,56491,0
WI,2018,white,non-hisp,m,85+,39544,0
WI,2018,white,non-hisp,f,85+,59315,0
WI,2018,black,non-hisp,m,0-4,10546,0
WI,2018,black,non-hisp,f,0-4,10546,0
WI,2018,black,non-hisp,m,5-9,10909,0
WI,2018,black,non-hisp,f,5-9,10909,0
WI,2018,black,non-hisp,m,10-14,11637,0
WI,2018,black,non-hisp,f,10-14,11637,0
WI,2018,black,non-hisp,m,15-19,11637,0
WI,2018,black,non-hisp,f,15-19,11637,0
WI,2018,black,non-hisp,m,20-24,12000,0
WI,2018,black,non-hisp,f,20-24,12000,0
WI,2018,black,non-hisp,m,25-29,12727,0
WI,2018,black,non-hisp,f,25-29,12727,0
WI,2018,black,non-hisp,m,30-34,12727,0
WI,2018,black,non-hisp,f,30-34,12727,0
WI,2018,black,non-hisp,m,35-39,12364,0
WI,2018,black,non-hisp,f,35-39,12364,0
WI,2018,black,non-hisp,m,40-44,11455,0
WI,2018,black,non-hisp,f,40-44,11455,0
WI,2018,black,non-hisp,m,45-49,10909,0
WI,2018,black,non-hisp,f,45-49,10909,0
WI,2018,black,non-hisp,m,50-54,11637,0
WI,2018,black,non-hisp,f,50-54,11637,0
WI,2018,black,non-hisp,m,55-59,12182,0
WI,2018,black,non-hisp,f,55-59,12182,0
WI,2018,black,non-hisp,m,60-64,11637,0
WI,2018,black,non-hisp,f,60-64,11637,0
WI,2018,black,non-hisp,m,65-69,9818,0
WI,2018,black,non-hisp,f,65-69,9818,0
WI,2018,black,non-hisp,m,70-74,8182,0
WI,2018,black,non-hisp,f,70-74,8182,0
WI,2018,black,non-hisp,m,75-79,5818,0
WI,2018,black,non-hisp,f,75-79,5818,0
WI,2018,black,non-hisp,m,80-84,2909,0
WI,2018,black,non-hisp,f,80-84,4364,0
WI,2018,black,non-hisp,m,85+,3055,0
